region,crop,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_production
20 Dalarna county,winter wheat,5960.0,5070.0,5670.0,5480.0,2180.0,5640.0,5550.0,5280.0,4230.0,2430.0,4749.0
20 Dalarna county,spring wheat,3180.0,3860.0,3340.0,4040.0,2420.0,4010.0,3180.0,2420.0,3060.0,1920.0,3143.0
20 Dalarna county,spring barley,3440.0,3590.0,3670.0,4040.0,2610.0,4370.0,3180.0,2860.0,3810.0,2320.0,3389.0
20 Dalarna county,oats,3920.0,4480.0,3830.0,4310.0,2260.0,4410.0,3540.0,3040.0,4310.0,2850.0,3695.0
20 Dalarna county,table potatoes,28010.0,28000.0,28740.0,28600.0,27760.0,32120.0,30090.0,28920.0,31220.0,26770.0,29023.0
20 Dalarna county,temporary grasses,5240.0,5690.0,3560.0,5660.0,3230.0,4060.0,3680.0,5260.0,3960.0,3580.0,4392.0
20 Dalarna county,temporary grasses. First cut,3060.0,3600.0,2570.0,3750.0,1920.0,3190.0,2520.0,3290.0,2310.0,1690.0,2790.0
20 Dalarna county,temporary grasses. Re-growth,2190.0,1630.0,990.0,1910.0,1310.0,1630.0,1160.0,1970.0,1630.0,1880.0,1630.0
21 Gvleborg county,winter wheat,4990.0,5940.0,4521.0,5260.0,4521.0,4980.0,4870.0,4490.0,3890.0,1750.0,4521.0
21 Gvleborg county,spring wheat,3990.0,4340.0,3800.0,3580.0,2650.0,4100.0,3930.0,3360.0,3640.0,1670.0,3506.0
21 Gvleborg county,spring barley,3140.0,3440.0,3270.0,3180.0,2440.0,3120.0,3590.0,2900.0,3400.0,2000.0,3048.0
21 Gvleborg county,oats,2740.0,3680.0,3570.0,3260.0,2010.0,3230.0,3360.0,2860.0,3670.0,1950.0,3033.0
21 Gvleborg county,temporary grasses,4340.0,4860.0,4660.0,4270.0,3220.0,4810.0,4340.0,4250.0,4310.0,4500.0,4356.0
21 Gvleborg county,temporary grasses. First cut,2690.0,3010.0,2910.0,2850.0,1900.0,3260.0,2860.0,2940.0,2640.0,2290.0,2735.0
21 Gvleborg county,temporary grasses. Re-growth,1640.0,1850.0,1750.0,1410.0,1320.0,1550.0,1480.0,1320.0,1670.0,2210.0,1620.0
22 Vsternorrland county,spring barley,2670.0,2510.0,2720.0,2260.0,1990.0,2630.0,2430.0,2410.0,2820.0,2220.0,2466.0
22 Vsternorrland county,temporary grasses,3520.0,3920.0,4480.0,3910.0,3130.0,3880.0,3780.0,3880.0,3540.0,3350.0,3739.0
22 Vsternorrland county,temporary grasses. First cut,2570.0,2710.0,3390.0,2860.0,2020.0,2560.0,2700.0,3340.0,2630.0,2420.0,2720.0
23 Jmtland county,spring barley,2940.0,2780.0,3330.0,3370.0,2590.0,3090.0,3100.0,3320.0,3530.0,2570.0,3062.0
23 Jmtland county,temporary grasses,3770.0,3160.0,4960.0,3590.0,2750.0,3980.0,4080.0,4100.0,4130.0,3440.0,3796.0
23 Jmtland county,temporary grasses. First cut,2930.0,2260.0,3540.0,2520.0,1730.0,2990.0,2540.0,2680.0,3100.0,2140.0,2643.0
23 Jmtland county,temporary grasses. Re-growth,1253.0,1253.0,1420.0,1080.0,1020.0,990.0,1540.0,1420.0,1253.0,1300.0,1253.0
24 Vsterbotten county,spring barley,2890.0,2310.0,2810.0,1850.0,2910.0,3300.0,3370.0,2690.0,3340.0,2780.0,2825.0
24 Vsterbotten county,oats,2476.0,2470.0,2950.0,830.0,2476.0,2630.0,2476.0,2540.0,3610.0,2300.0,2476.0
24 Vsterbotten county,table potatoes,17690.0,15640.0,20470.0,17780.0,19360.0,20450.0,19760.0,19590.0,18950.0,18854.0,18854.0
24 Vsterbotten county,temporary grasses,3810.0,3660.0,4240.0,3190.0,3200.0,3920.0,4120.0,4220.0,4280.0,3240.0,3788.0
24 Vsterbotten county,temporary grasses. First cut,2140.0,2380.0,2760.0,2150.0,1910.0,2580.0,2420.0,2830.0,2810.0,1890.0,2387.0
24 Vsterbotten county,temporary grasses. Re-growth,1670.0,1280.0,1490.0,1040.0,1290.0,1340.0,1690.0,1400.0,1470.0,1350.0,1402.0
25 Norrbotten county,spring barley,2740.0,1520.0,2580.0,1330.0,2620.0,2660.0,2430.0,2300.0,3050.0,2310.0,2354.0
25 Norrbotten county,table potatoes,18230.0,13320.0,17150.0,14880.0,18200.0,17840.0,20700.0,17189.0,17189.0,17189.0,17189.0
25 Norrbotten county,temporary grasses,3520.0,4420.0,3920.0,2840.0,3270.0,3950.0,3680.0,3960.0,3530.0,4560.0,3765.0
25 Norrbotten county,temporary grasses. First cut,2420.0,3010.0,2810.0,1990.0,1750.0,2940.0,2010.0,2830.0,2760.0,2610.0,2513.0
